person_id,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,customer_id,age,gender,education_level,location_type,employment_type,estimated_monthly_income,mobile_tenure_months,monthly_airtime_spend,monthly_data_usage_gb,avg_calls_per_day,avg_sms_per_day,avg_call_duration_mins,network_stability_score,digital_wallet_usage,monthly_digital_transactions,avg_transaction_amount,online_purchases_per_month,avg_online_spend,social_media_activity_score,social_network_size,mobile_banking_user,digital_loan_history,digital_engagement_score,financial_inclusion_score,employment_status,income_level,monthly_income,region,electricity_bill_avg,water_bill_avg,gas_bill_avg,total_utility_expense,utility_to_income_ratio,on_time_payments_12m,late_payments_12m,avg_delay_days,disconnection_count,payment_method,credit_risk_score,credit_risk_category,target
157,39112.0,2,23.0,3,0,39010.0,17.32,0.574,2,12.0,250,33.278,2,3,2,4,327.26,24.08,30.10496,3.2174399999999994,8.052,11.896,5.949559999999999,74.584,0.748,11.328,35.1548,3.124,80.10556,48.468,151.5,0.624,0.34,43.112,566.204,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,1
409,65150.0,1,22.0,1,5,4273.0,19.12,0.26,0,29.0,250,33.278,2,3,2,4,327.26,24.08,30.10496,3.2174399999999994,8.052,11.896,5.949559999999999,74.584,0.748,11.328,35.1548,3.124,80.10556,48.468,151.5,0.624,0.34,43.112,566.204,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,0
933,50580.296,3,19.958,5,7,21068.998,15.33908,0.325986,1,16.026,290,40.0,1,0,1,1,255.0,19.0,12.46,1.0,9.0,4.0,6.48,82.0,1.0,15.0,61.3,5.0,186.58,51.0,158.0,1.0,0.0,56.0,519.0,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,0
925,50580.296,3,19.958,5,7,21068.998,15.33908,0.325986,1,16.026,282,29.0,1,0,1,1,356.0,26.0,31.4,0.78,12.0,10.0,10.18,82.0,1.0,8.0,3.21,2.0,11.62,70.0,137.0,0.0,0.0,37.0,529.0,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,0
772,50580.296,3,19.958,5,7,21068.998,15.33908,0.325986,1,16.026,369,40.0,1,1,3,3,91.0,32.0,55.08,3.72,7.0,10.0,5.74,82.0,0.0,0.0,0.0,4.0,111.4,60.0,143.0,0.0,0.0,21.0,349.0,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,0
856,50580.296,3,19.958,5,7,21068.998,15.33908,0.325986,1,16.026,445,18.0,0,1,3,1,199.0,29.0,19.01,1.51,9.0,12.0,6.73,84.0,1.0,11.0,41.69,1.0,73.75,16.0,176.0,1.0,1.0,43.0,497.0,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,0
586,50580.296,3,19.958,5,7,21068.998,15.33908,0.325986,1,16.026,176,35.0,0,3,2,4,327.26,24.08,30.10496,3.2174399999999994,8.052,11.896,5.949559999999999,74.584,0.748,11.328,35.1548,3.124,80.10556,48.468,151.5,0.624,0.34,43.112,566.204,1,0,6155.0,0,22.58,29.75,15.43,67.76,1.1,5.0,7.0,12.0,0.0,4,606.0,2,0
266,58258.0,0,1.0,2,2,10135.0,8.63,0.481,0,6.0,250,33.278,2,3,2,4,327.26,24.08,30.10496,3.2174399999999994,8.052,11.896,5.949559999999999,74.584,0.748,11.328,35.1548,3.124,80.10556,48.468,151.5,0.624,0.34,43.112,566.204,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,1
447,42298.0,1,0.0,3,2,31750.0,24.64,0.382,0,7.0,250,33.278,2,3,2,4,327.26,24.08,30.10496,3.2174399999999994,8.052,11.896,5.949559999999999,74.584,0.748,11.328,35.1548,3.124,80.10556,48.468,151.5,0.624,0.34,43.112,566.204,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,0
967,50580.296,3,19.958,5,7,21068.998,15.33908,0.325986,1,16.026,258,31.0,0,0,0,2,433.0,15.0,5.52,1.07,6.0,8.0,4.43,63.0,1.0,18.0,70.28,1.0,83.43,49.0,160.0,0.0,0.0,38.0,537.0,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,0
